"Colony","Date","Bee","Entrance_minute","Entrance_second","Danced","Decimal_entrance_time","Total_runs","Trial","Day","Scent","Treatment","Setup","Site","Density","Flower_number","Array_time","Duration"
"7B","7/20/22","WGG_7B",49,2,0,49.0333333333333,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/20/22","WGG_7B",52,31,1,52.5166666666667,11,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/20/22","WGG_7B",56,14,1,56.2333333333333,12,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/20/22","WGG_7B",59,47,1,59.7833333333333,21,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/20/22","WGR_7B",9,50,1,9.83333333333333,22,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","WGR_7B",17,30,0,17.5,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","WGR_7B",22,17,0,22.2833333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","WGR_7B",29,6,0,29.1,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","WGR_7B",34,43,0,34.7166666666667,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","WGR_7B",40,45,0,40.75,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","WGR_7B",46,9,0,46.15,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","WGR_7B",51,58,0,51.9666666666667,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","WGR_7B",57,39,0,57.65,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","WOO_7B",12,43,0,12.7166666666667,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",11,49
"7B","7/20/22","WOO_7B",17,27,0,17.45,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",11,49
"7B","7/20/22","WOO_7B",27,53,1,27.8833333333333,4,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",11,49
"7B","7/20/22","WOO_7B",34,8,1,34.1333333333333,3,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",11,49
"7B","7/20/22","WOO_7B",40,17,0,40.2833333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",11,49
"7B","7/20/22","WOO_7B",46,15,0,46.25,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",11,49
